Q1|184|2
Q1|29|2
Q1|31|2
Q1|12|3
Q1|51|3
Q1|102|3
Q1|13|4
Q1|14|4
Q1|15|4
Q1|57|2
Q1|378|2
Q1|859|2
Q1|185|3
Q1|30|3
Q1|37|3
Q1|52|4
Q1|142|4
Q1|195|4
Q1|875|2
Q1|56|3
Q1|66|3
Q1|95|3
Q1|462|4
Q1|497|3
Q1|858|3
Q1|876|3
Q1|879|3
Q1|880|3
Q2|12|1
Q2|15|2
Q2|184|2
Q2|858|2
Q2|51|3
Q2|102|3
Q2|202|3
Q2|14|4
Q2|52|4
Q2|380|4
Q2|746|1
Q2|859|2
Q2|948|2
Q2|285|3
Q2|390|3
Q2|391|3
Q2|442|4
Q2|497|3
Q2|643|3
Q2|856|3
Q2|857|3
Q2|877|3
Q2|864|3
Q2|658|3
Q3|236|3
Q3|166|3
Q4|48|1
Q4|122|1
Q4|20|3
Q4|58|3
Q4|196|3
Q4|354|1
Q4|360|1
Q4|197|3
Q4|999|3
Q4|1112|3
Q4|1005|1
Q5|21|2
Q5|22|2
Q5|550|2
Q6|259|2
Q6|405|2
Q6|302|3
Q6|436|3
Q6|437|3
Q6|438|3
Q6|998|3
Q6|1011|3
Q7|86|2
Q7|194|2
Q7|650|2
Q7|649|4
Q7|652|2
Q8|64|2
Q8|265|2
Q8|65|4
Q8|311|4
Q9|463|1
Q9|462|3
Q10|196|2
Q10|197|2
Q10|198|2
